Date;nnav;ttav;ffav;wwav
01.01.2015;8;4,125;13;10
02.01.2015;6;7,75;24;61
03.01.2015;7;4,875;25;69
04.01.2015;0;4,75;15;NULL
05.01.2015;8;5,875;8;20
06.01.2015;8;3,625;8;10
07.01.2015;6;5,75;10;61
08.01.2015;8;6,375;9;61
09.01.2015;6;7,5;25;63
10.01.2015;6;10;28;61
11.01.2015;5;4,25;23;61
12.01.2015;7;7,5;19;61
13.01.2015;7;7,75;14;61
14.01.2015;6;3,125;16;71
15.01.2015;7;6,75;14;61
16.01.2015;6;6,75;13;0
17.01.2015;1;4,25;12;21
18.01.2015;8;2;9;61
19.01.2015;7;1;5;71
20.01.2015;7;-0,375;4;77
21.01.2015;8;-1,125;4;10
22.01.2015;7;-1,375;3;49
23.01.2015;8;-1,25;5;20
24.01.2015;7;-0,5;10;71
25.01.2015;6;2,875;6;NULL
26.01.2015;7;3,375;10;61
27.01.2015;2;4,875;13;NULL
28.01.2015;7;4,875;17;61
29.01.2015;7;1,5;12;75
30.01.2015;7;1,125;6;NULL
31.01.2015;7;-2,375;7;49
01.02.2015;7;-0,25;9;75
02.02.2015;6;1;10;22
03.02.2015;7;-1;10;77
04.02.2015;6;-1,875;9;0
05.02.2015;5;0,75;10;22
06.02.2015;2;-0,5;6;22
07.02.2015;7;4,125;18;20
08.02.2015;1;3,375;14;NULL
09.02.2015;7;6,875;13;61
10.02.2015;7;7,625;11;NULL
11.02.2015;8;4;5;NULL
12.02.2015;8;2;4;10
13.02.2015;8;1,25;6;10
14.02.2015;7;1,625;9;28
15.02.2015;7;3,125;16;10
16.02.2015;8;2;9;10
17.02.2015;6;1,125;7;45
18.02.2015;3;5,5;12;10
19.02.2015;0;6,25;13;5
20.02.2015;8;3,875;11;71
21.02.2015;7;3,875;16;61
22.02.2015;5;5,25;13;0
23.02.2015;7;4,5;12;61
24.02.2015;7;5,625;12;61
25.02.2015;5;5,875;10;NULL
26.02.2015;5;6,625;10;0
27.02.2015;7;4,5;9;61
28.02.2015;3;5,625;10;0
01.03.2015;7;6,75;15;61
02.03.2015;6;5,125;23;61
03.03.2015;6;5;14;61
04.03.2015;6;5;18;61
05.03.2015;7;6,625;14;NULL
06.03.2015;7;8,125;12;20
07.03.2015;7;10,125;13;0
08.03.2015;0;14;12;NULL
09.03.2015;4;8,375;6;NULL
10.03.2015;3;9,5;13;10
11.03.2015;0;9,125;12;NULL
12.03.2015;0;7,125;10;0
13.03.2015;6;4,875;15;NULL
14.03.2015;7;5,125;15;NULL
15.03.2015;7;5,75;13;21
16.03.2015;2;8,625;13;10
17.03.2015;1;10,75;11;5
18.03.2015;4;10,625;8;NULL
19.03.2015;0;10,375;9;0
20.03.2015;7;5;9;45
21.03.2015;7;4,5;21;61
